campaign_id,campaign_name,sub_category,category,country,launched,deadline,goal_usd,pledged_usd,backers,outcome
1,Ragdolls,Webseries,Film & Video,US,2013-04-25 00:00:00,2013-05-25 00:00:00,15000,20,3,failed
2,One To Ten,Shorts,Film & Video,GB,2015-11-16 00:00:00,2015-12-16 00:00:00,282.28,522.23,23,successful
3,Future Gun - A short film about kids and advanced hardware,Animation,Film & Video,US,2013-08-28 00:00:00,2013-09-27 00:00:00,5000,1497,28,failed
4,Fourth Wave ApparelVintage Fashion for the Modern Feminist,Apparel,Fashion,US,2014-07-22 00:00:00,2014-08-21 00:00:00,6000,8795,218,successful
5,The Rich Lifestyle,Documentary,Film & Video,US,2016-08-24 00:00:00,2016-09-28 00:00:00,2000000,2,2,failed
6,Perils Galore!,Illustration,Art,US,2012-09-25 00:00:00,2012-11-01 00:00:00,2500,230,5,failed
7,In a Dark Dark House - Directed by Larry Moss,Theater,Theater,US,2014-07-01 00:00:00,2014-08-15 00:00:00,55000,9316,45,failed
8,CHARLIEFOXTROTNY,Webseries,Film & Video,US,2014-05-21 00:00:00,2014-06-20 00:00:00,6000,161,4,failed
9,Fat Englishmen - Beer and Sumo,Comedy,Film & Video,US,2015-03-03 00:00:00,2015-04-02 00:00:00,50000,0,0,failed
10,bear elements old-fashioned shave and beard care for men,Crafts,Crafts,US,2016-04-14 00:00:00,2016-05-14 00:00:00,12000,306,11,failed
11,DigIndustrial Art,Digital Art,Art,US,2014-06-19 00:00:00,2014-07-09 00:00:00,30000,111,4,failed
12,Expanding Farm to service the local Food Bank,Farms,Food,US,2016-06-13 00:00:00,2016-07-13 00:00:00,2500,405,5,failed
13,Church Hive. Church hiring made easy!,Web,Technology,US,2016-09-01 00:00:00,2016-10-01 00:00:00,16800,101,2,failed
14,The Visual Media Directory Project,Public Art,Art,US,2012-03-07 00:00:00,2012-05-06 00:00:00,10000,2,2,failed
15,Too Sweet - The Not So Serious Side to Diabetes,Nonfiction,Publishing,US,2014-01-16 00:00:00,2014-02-15 00:00:00,2500,2525,6,successful
16,Baby Hungry Short Film Finishing Funds,Shorts,Film & Video,US,2010-10-27 00:00:00,2010-11-26 00:00:00,1500,1525,23,successful
17,"Turn ""solvents-forgive yr. blood"" into 12 inches of vinyl!!",Music,Music,US,2011-04-20 00:00:00,2011-05-20 00:00:00,1000,1494,43,successful
18,Fishin' for Chickens,Shorts,Film & Video,US,2011-11-14 00:00:00,2011-11-30 00:00:00,2695,3667.13,75,successful
19,ROAM RECORD FUND,Rock,Music,US,2010-09-29 00:00:00,2010-10-29 00:00:00,5000,5847,99,successful
20,William Charles and Dirt Road Trippers NEW EP,Rock,Music,US,2012-10-09 00:00:00,2012-12-08 00:00:00,800,425,8,failed
21,Vega - Six String Theory - Alternative Rap Album Production,Hip-Hop,Music,US,2014-04-14 00:00:00,2014-05-14 00:00:00,3500,1,1,failed
22,Life Planner,Product Design,Design,GB,2015-11-09 00:00:00,2015-12-08 00:00:00,12625.16,5620.12,161,failed
23,Number Ten Pond - 2014 Calendar,Photography,Photography,US,2013-07-26 00:00:00,2013-08-20 00:00:00,3800,1488,43,failed
24,Chosen Gospel single 'Make me a Believer',World Music,Music,GB,2013-08-13 00:00:00,2013-09-03 00:00:00,884.69,25.56,3,failed
25,OILOVE YOU,Food,Food,US,2014-09-17 00:00:00,2014-11-07 00:00:00,17000,20,1,failed
26,Up Against The Downturn,Documentary,Film & Video,US,2011-06-22 00:00:00,2011-07-22 00:00:00,5600,1026,9,failed
27,Mosquito Wars,Documentary,Film & Video,US,2012-06-13 00:00:00,2012-07-13 00:00:00,15000,1401,11,failed
28,Bev's First Studio EP! - The Noble House of Pancake,Pop,Music,US,2014-11-14 00:00:00,2014-12-14 00:00:00,12000,12545,224,successful
29,Clean Water For Africa,Narrative Film,Film & Video,US,2014-08-12 00:00:00,2014-10-11 00:00:00,50,30,2,failed
30,"Mercurial Theatre Presents: HP Lovecraft's ""Call of Cthulhu""",Experimental,Theater,US,2017-05-09 00:00:00,2017-06-08 00:00:00,5000,1651,25,failed
31,BLACKOUT: The Eradication Protocols,Comic Books,Comics,US,2017-05-09 00:00:00,2017-06-18 00:00:00,5200,6419,225,successful
32,"Men's Fashion, the next big thing.",Fashion,Fashion,US,2014-06-05 00:00:00,2014-07-05 00:00:00,800,0,0,failed
33,Jack Daniels Cake,Food,Food,US,2014-07-18 00:00:00,2014-08-17 00:00:00,3000,0,0,failed
34,See the time in every timezone on earth on one Orbi Clock,Design,Design,US,2014-02-19 00:00:00,2014-04-05 00:00:00,8900,281,5,failed
35,Moveable Movie Production Studios for Educators,Film & Video,Film & Video,DE,2017-01-22 00:00:00,2017-02-22 00:00:00,11185.02,0,0,failed
36,NASHVILLE RISES,Film & Video,Film & Video,US,2011-01-27 00:00:00,2011-03-13 00:00:00,4000,4001,15,successful
37,Donald Trump Plush with Audio. Checklist on Back of Box.,Product Design,Design,US,2016-10-11 00:00:00,2016-11-08 00:00:00,35000,185,6,failed
38,Mind Magnet - Watch for teaching children to stay on task,Wearables,Technology,US,2017-06-11 00:00:00,2017-07-11 00:00:00,25000,0,0,canceled
39,Cold War 2,Video Games,Games,US,2014-05-11 00:00:00,2014-06-10 00:00:00,2500,281,15,failed
40,Jersey Shoresical:A Frickin' Rock Opera,Theater,Theater,US,2011-06-17 00:00:00,2011-07-17 00:00:00,8000,8086,73,successful
41,Fridge Feet,Product Design,Design,US,2013-12-07 00:00:00,2014-01-06 00:00:00,20000,1254,49,failed
42,Fat Boy's Nerd Emporium,Gaming Hardware,Games,US,2014-07-16 00:00:00,2014-08-15 00:00:00,5000,0,0,failed
43,Little Fears Nightmare Edition - Blessed are the Children,Tabletop Games,Games,US,2013-08-22 00:00:00,2013-09-21 00:00:00,1500,9071,164,successful
44,Lest We Forget,Comic Books,Comics,CA,2016-05-12 00:00:00,2016-06-11 00:00:00,8297.03,58.63,3,failed
45,"1000 Haiku, 1000 Strangers",Poetry,Publishing,US,2010-11-20 00:00:00,2010-12-25 00:00:00,1500,5276.01,228,successful
46,Field Reflections: The Final Painting,Painting,Art,US,2012-09-12 00:00:00,2012-10-15 00:00:00,3000,4268,18,successful
47,The Kitchen: a space for participatory cooking & dining,Food,Food,US,2012-12-06 00:00:00,2013-01-15 00:00:00,40000,45026,309,successful
48,The Harriet Experiment,Documentary,Film & Video,US,2012-01-18 00:00:00,2012-03-18 00:00:00,70000,7071,91,failed
49,The Modern Day Briefcase,Product Design,Design,US,2016-03-01 00:00:00,2016-04-16 00:00:00,40000,242014,1287,successful
50,TOGA: The Holder | Upgrade | Keychain for EOS� Lip Balms,Product Design,Design,US,2016-10-05 00:00:00,2016-11-04 00:00:00,5000,912,19,canceled
51,Grain35: Beautiful 35mm Film Grain Scans For Your DSLR Video,Technology,Technology,US,2012-03-21 00:00:00,2012-04-11 00:00:00,15000,26206,255,successful
52,FLIE Rings - Colorful Anodized Aluminum Rings for Life,Accessories,Fashion,US,2015-08-06 00:00:00,2015-09-05 00:00:00,2000,10604,285,successful
53,"""Friday Night Monkey Fights"" the Mobile App!",Video Games,Games,US,2012-01-12 00:00:00,2012-02-11 00:00:00,30000,30,2,failed
54,GIULIA,Shorts,Film & Video,US,2012-04-05 00:00:00,2012-05-15 00:00:00,6000,6000,35,successful
55,Personalised full length novels for children,Children's Books,Publishing,GB,2017-05-16 00:00:00,2017-06-15 00:00:00,8057.3,51.57,1,failed
56,"Publish my first horror novel, make a trailer & short films",Horror,Film & Video,US,2014-07-15 00:00:00,2014-08-14 00:00:00,20000,310,3,failed
57,"1,000 Stars Festival, Documentary ",Documentary,Film & Video,US,2009-09-28 00:00:00,2009-10-24 00:00:00,5000,5117,32,successful
58,Fittersift: Introducing Responsive Textile Technology,Apparel,Fashion,US,2014-12-15 00:00:00,2015-01-29 00:00:00,25000,978,8,failed
59,Jake Jude T-Shirt (Official),Apparel,Fashion,US,2014-09-15 00:00:00,2014-09-29 00:00:00,375,0,0,failed
